mode,n_features,max_depth,learning_rate,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,3,0.1,500,20.29713274087715,18.005509121257433,21.12205067815454,18.877876511503565,0.1561797999997907
Calendar,1,3,1e-05,700,21.911094499556082,19.04799660545542,22.463381012959527,19.868988935437226,0.19689880000032645
Calendar,1,3,0.0001,700,21.731332573016875,18.92718413240932,22.297859609504815,19.755392686565074,0.20517540000037116
Calendar,1,3,0.001,700,20.74385272787284,18.28773335143253,21.425249378230195,19.13380278185928,0.21144320000030348
Calendar,1,3,0.01,700,20.29751630284814,18.006342984029228,21.120745583659712,18.87798041882869,0.20642839999982243
Calendar,1,3,0.1,700,20.29713274087715,18.005509121257433,21.12205067815454,18.877876511503565,0.19771080000009533
Calendar,1,3,1e-05,1000,21.902093521955173,19.04163428422327,22.454986391944978,19.862961643678016,0.25526429999990796
Calendar,1,3,0.0001,1000,21.653085244542062,18.874748295227032,22.226157164493245,19.705633816316674,0.27579100000002654
Calendar,1,3,0.001,1000,20.557377136238127,18.172568791083417,21.27447148189186,19.022626558600695,0.28508289999990666
Calendar,1,3,0.01,1000,20.297162284662882,18.005693024023614,21.12166867927618,18.877858197946086,0.26091939999969327
Calendar,1,3,0.1,1000,20.29713274087715,18.005509121257433,21.12205067815454,18.877876511503565,0.26950269999997545
Calendar,1,6,1e-05,50,21.930617017126934,19.061855237090064,22.4816114170388,19.88211104023095,0.0679413999996541
Calendar,1,6,0.0001,50,21.91657636261007,19.05232848566142,22.46862980711336,19.87318242590052,0.06347760000016933
Calendar,1,6,0.001,50,21.782337423816745,18.96171946887785,22.344827496382457,19.787766361696587,0.06455350000032922
Calendar,1,6,0.01,50,20.914586558822457,18.39762782798824,21.566542219399896,19.242421266820323,0.058599599999979546
Calendar,1,6,0.1,50,20.297193539234,18.00595412262809,21.120635130451983,18.87766885568164,0.06060460000026069
Calendar,1,6,1e-05,100,21.9290476907768,19.06079667760889,22.480161419506214,19.881120258516706,0.08669929999996384
Calendar,1,6,0.0001,100,21.901089155581463,19.0418285908143,22.45431816120216,19.863343273599252,0.08589069999970889
Calendar,1,6,0.001,100,21.64585482156132,18.870452191291054,22.21963199147112,19.700978429711824,0.0836831000001439
Calendar,1,6,0.01,100,20.528407120830444,18.159442876504098,21.24768183337933,19.005283769023603,0.08149300000013682
Calendar,1,6,0.1,100,20.297132742747593,18.005509283825607,21.122042350965348,18.877871911625533,0.08816489999981059
Calendar,1,6,1e-05,200,21.925911061093924,19.058680760953592,22.477263531751493,19.879140539067066,0.11766880000004676
Calendar,1,6,0.0001,200,21.870590554959488,19.021212112974787,22.42615295911215,19.843890336385282,0.1143541000001278
Calendar,1,6,0.001,200,21.408587149741653,18.713399733665657,22.003901294102423,19.551308262739457,0.1169412000003831
Calendar,1,6,0.01,200,20.32905653325515,18.031707578002937,21.11526891379755,18.888273913066627,0.11670709999998508
Calendar,1,6,0.1,200,20.297132740772675,18.005507703871043,21.122049062166514,18.877873867960236,0.13139860000001136
Calendar,1,6,1e-05,300,21.922777129732292,19.056565459510484,22.47436845464967,19.87716177119173,0.15581210000027568
