mode,n_features,max_depth,learning_rate,n_estimators,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,3,1e-05,50,18.824397598876494,16.048816176483868,19.214170604521275,17.004478839124452,0.09069560002535582
Calendar,1,3,0.0001,50,18.802191383450513,16.028440931591316,19.192547570822732,16.98542570098297,0.09085370018146932
Calendar,1,3,0.001,50,18.589679568032697,15.833511122163193,18.986006203592073,16.802861240840073,0.08539499994367361
Calendar,1,3,0.01,50,17.182826901863322,14.5504952621973,17.65201396479929,15.576247552345441,0.08991280011832714
Calendar,1,3,0.1,50,16.03851701242126,13.379958244058344,16.75320693392773,14.57000659457974,0.0862908000126481
Calendar,1,3,1e-05,100,18.82194562888212,16.04656339486259,19.21177612522498,17.002365097392246,0.11323820007964969
Calendar,1,3,0.0001,100,18.77776080059072,16.00601116532538,19.16875530088294,16.964454814076866,0.10876339999958873
Calendar,1,3,0.001,100,18.37243006635479,15.63495533784734,18.775896479173102,16.615273412257427,0.10750590008683503
Calendar,1,3,0.01,100,16.522223446481096,13.928139611168946,17.07509397300159,15.013988774113155,0.10605629999190569
Calendar,1,3,0.1,100,16.034646104718803,13.37136153748377,16.754367462760197,14.559581936800614,0.10978519986383617
Calendar,1,3,1e-05,200,18.817044379551017,16.042059805456713,19.20699012983707,16.998139351664374,0.15145739982835948
Calendar,1,3,0.0001,200,18.729523246710322,15.961730535576796,19.121821841190297,16.92307901516071,0.1604815002065152
Calendar,1,3,0.001,200,17.991856048862378,15.288223450004997,18.410796851116338,16.28579349350796,0.15776750002987683
Calendar,1,3,0.01,200,16.137329556602584,13.511869897284395,16.809822801056857,14.69200831212207,0.15106859989464283
Calendar,1,3,0.1,200,16.034617993622913,13.371030680043194,16.754701338242892,14.559033350948095,0.1517222998663783
Calendar,1,3,1e-05,300,18.812146720099953,16.037559872698008,19.202208087850327,16.993917220801986,0.20102760009467602
Calendar,1,3,0.0001,300,18.68211417203117,15.91822813208806,19.07573815118666,16.88237295499578,0.20434630010277033
Calendar,1,3,0.001,300,17.674006364911126,14.999210869996658,18.109404251357642,16.00759600021578,0.19232670008204877
Calendar,1,3,0.01,300,16.06521371314729,13.420821610138702,16.76598024382047,14.611361442337312,0.19717580010183156
Calendar,1,3,0.1,300,16.034617982167212,13.371025619219647,16.754705659967332,14.55902846197967,0.20715079992078245
Calendar,1,3,1e-05,400,18.80725265333349,16.03306320499263,19.19743000221909,16.989697824988877,0.25408370001241565
Calendar,1,3,0.0001,400,18.635533720361167,15.875523110672157,19.03050501459226,16.842321694769407,0.24895389983430505
Calendar,1,3,0.001,400,17.408614913201816,14.757588512491315,17.86065425431065,15.774143084365516,0.2542026999872178
Calendar,1,3,0.01,400,16.04644514077186,13.391356849393302,16.75800965662537,14.583462154914198,0.25320150004699826
Calendar,1,3,0.1,400,16.034617982112653,13.37102521090726,16.754705620453183,14.55902798690705,0.2575827999971807
Calendar,1,3,1e-05,500,18.80236218205703,16.02856916825261,19.19265587589822,16.985480939647367,0.2902029000688344
Calendar,1,3,0.0001,500,18.58975850590042,15.833598462394495,18.986095036215538,16.802955610945432,0.30708499997854233
Calendar,1,3,0.001,500,17.187395823750037,14.554751809041221,17.656097349819607,15.580093446173732,0.29863990005105734
Calendar,1,3,0.01,500,16.039235431581574,13.38076574163235,16.75378418569474,14.571170392318672,0.305540099972859
Calendar,1,3,0.1,500,16.034617982112653,13.37102521090726,16.754705620453183,14.55902798690705,0.3083885000087321
Calendar,1,3,1e-05,700,18.792592037200134,16.019590724160697,19.183119513009434,16.977062143936227,0.3880190998315811
Calendar,1,3,0.0001,700,18.500588020067923,15.752019841002914,18.89971688776892,16.726049785805934,0.38351429998874664
Calendar,1,3,0.001,700,16.84760988437364,14.238624491515296,17.352409875938545,15.28982840273744,0.3869882000144571
Calendar,1,3,0.01,700,16.035324218142886,13.373496598207474,16.753112963596866,14.56249554927236,0.39094240008853376
Calendar,1,3,0.1,700,16.034617982112653,13.37102521090726,16.754705620453183,14.55902798690705,0.40117870015092194
Calendar,1,3,1e-05,1000,18.777963856274457,16.006146623401467,19.168844737403173,16.96446045789224,0.5192264998331666
Calendar,1,3,0.0001,1000,18.372597376072957,15.635121206978209,18.776069946473775,16.615442283969163,0.5418543999549001
Calendar,1,3,0.001,1000,16.525694394964432,13.931519256558083,17.077992290743815,15.016988123412078,0.5243338998407125
Calendar,1,3,0.01,1000,16.03466344799546,13.37134643292458,16.754411450086028,14.559818692808706,0.5606290998402983
Calendar,1,3,0.1,1000,16.034617982112653,13.37102521090726,16.754705620453183,14.55902798690705,0.510406999848783
Calendar,1,6,1e-05,50,18.824263718679628,16.048735747509234,19.214067836525,17.004404725237336,0.09873829991556704
Calendar,1,6,0.0001,50,18.80115471949036,16.027708036799222,19.19154719281183,16.984473196558593,0.09845410007983446
Calendar,1,6,0.001,50,18.579571392120535,15.826308599416969,18.976322575897,16.793832115246737,0.10769279999658465
Calendar,1,6,0.01,50,17.112856672142023,14.4969170076006,17.588118987046858,15.516891109354262,0.09880169993266463
Calendar,1,6,0.1,50,16.034709466859436,13.373584684358834,16.752381858259792,14.560644783279713,0.09849669993855059
Calendar,1,6,1e-05,100,18.821677914622686,16.04640256706545,19.211570649710136,17.002216948042946,0.13677079998888075
Calendar,1,6,0.0001,100,18.775681544084833,16.004543339649764,19.166759723222224,16.962574840331044,0.13691950007341802
Calendar,1,6,0.001,100,18.352962848818475,15.620875992305697,18.75729877452639,16.59819018907327,0.14068399998359382
Calendar,1,6,0.01,100,16.439740305675343,13.864058452949854,16.997521362434146,14.938714005419104,0.14221280021592975
Calendar,1,6,0.1,100,16.03461798524963,13.371037851772662,16.754693407987745,14.559036655788915,0.13768260017968714
Calendar,1,6,1e-05,200,18.81650913572196,16.04173811997902,19.206579420875872,16.997843181888175,0.22124129999428988
Calendar,1,6,0.0001,200,18.725398018235847,15.958804682806615,19.117853280775787,16.919311030563456,0.20383880008012056
Calendar,1,6,0.001,200,17.955697891747537,15.261785564710264,18.37646210011626,16.254225411577313,0.21570529998280108
Calendar,1,6,0.01,200,16.090439668779297,13.481597201006743,16.746932250267804,14.634699458876597,0.2143616999965161
Calendar,1,6,0.1,200,16.034617982053703,13.371026278985482,16.754705678971074,14.55902963182363,0.2153046999592334
Calendar,1,6,1e-05,300,18.811344131696483,16.037077179900514,19.201592387826818,16.993472329933144,0.29480439983308315
Calendar,1,6,0.0001,300,18.675979090195742,15.913870957672248,19.06984344214332,16.87683758877348,0.2797878000419587
Calendar,1,6,0.001,300,17.623797070624764,14.961843615957141,18.062197584561826,15.964025253427138,0.28399599995464087
Calendar,1,6,0.01,300,16.042275354014244,13.401141750120871,16.738924035704066,14.578185349701691,0.29530070000328124
Calendar,1,6,0.1,300,16.034617982053703,13.371026278985482,16.754705678971074,14.55902963182363,0.29086560010910034
Calendar,1,6,1e-05,400,18.806182905656485,16.032418843865194,19.196609553832992,16.989104862361348,0.3823897000402212
Calendar,1,6,0.0001,400,18.62740258832941,15.869724534731125,19.022703315058045,16.835050403706664,0.38393289991654456
Calendar,1,6,0.001,400,17.34732691925864,14.711139580119003,17.803927398487474,15.721959243611646,0.3775901000481099
Calendar,1,6,0.01,400,16.035669553631937,13.380525030214471,16.747228157975517,14.564923193945587,0.37168650003150105
