mode,n_features,layers,learning_rate,epochs,batch_size,rmse_percentual_train,mape_train,rmse_percentual_test,mape_test,processing_time
Calendar,1,"[50, 50, 100]",1e-05,5,2048,42.45627212425125,38.75791938463475,49.982211085191636,47.7006084856761,2.931968200020492
Calendar,1,"[50, 50, 100]",5e-05,5,2048,40.44164400175072,36.6129993846944,48.204994064934795,45.86718458170621,2.9007950000232086
Calendar,1,"[50, 50, 100]",0.0001,5,2048,37.34323436762028,33.29278657352423,45.45754280031838,43.02320416583428,2.9548946999711916
Calendar,1,"[50, 50, 100]",0.0005,5,2048,12.531926869055164,10.357843432518665,18.194941735726626,14.698423376918685,2.906785099999979
Calendar,1,"[50, 50, 100]",1e-05,10,256,29.907787307927986,25.44694527793958,38.79606307931325,36.18936371077978,9.068064099992625
Calendar,1,"[50, 50, 100]",5e-05,10,256,12.515561534023808,10.393610176722053,17.67638704814158,14.227815833412969,7.7920333000365645
Calendar,1,"[50, 50, 100]",0.0001,10,256,12.496747408924271,10.380129886160638,17.777613365624884,14.297727123406629,7.7697413000278175
Calendar,1,"[50, 50, 100]",0.0005,10,256,12.215673502688244,10.178294699416119,17.05599683629251,13.89685195391048,7.409391200053506
Calendar,1,"[50, 50, 100]",1e-05,10,512,38.34890038593561,34.371331385520385,46.351178753798266,43.94847806337103,7.1880454999627545
Calendar,1,"[50, 50, 100]",5e-05,10,512,12.594132030225447,10.390762802550348,17.94535662333544,14.580333856705685,7.162851999979466
Calendar,1,"[50, 50, 100]",0.0001,10,512,12.526433563890684,10.390117578197057,17.780574668719186,14.325507741841756,7.22889040003065
Calendar,1,"[50, 50, 100]",0.0005,10,512,12.420984594267047,10.323632104081007,17.626030400528403,14.212046877792254,7.136361199896783
Calendar,1,"[50, 50, 100]",1e-05,10,1024,41.11015138816297,37.31212790002116,48.79326050469064,46.4652255001165,5.258900700020604
Calendar,1,"[50, 50, 100]",5e-05,10,1024,22.17383923166792,17.707886157252624,31.57033847220715,28.70146589322431,5.373759299982339
Calendar,1,"[50, 50, 100]",0.0001,10,1024,12.509486380916858,10.40120717029322,17.653997390939086,14.183715817526323,5.440724199987017
Calendar,1,"[50, 50, 100]",0.0005,10,1024,12.48004503672402,10.391688112020624,17.56829543322329,14.102437122594585,5.625248400028795
Calendar,1,"[50, 50, 100]",1e-05,10,2048,41.899878953633646,38.17466947425396,49.49322597057807,47.20195512712344,4.07767860009335
Calendar,1,"[50, 50, 100]",5e-05,10,2048,36.889193315988095,32.81141761692232,45.05452253065663,42.609509922428536,4.1069841999560595
Calendar,1,"[50, 50, 100]",0.0001,10,2048,23.531606063861783,18.969294785102893,32.86364788885893,30.015686693824684,6.077763400040567
Calendar,1,"[50, 50, 100]",0.0005,10,2048,12.499837342027728,10.4195943609974,17.567263452443008,14.070890774572584,4.296742800041102
Calendar,1,"[50, 50, 100]",1e-05,15,256,17.778909615831143,13.829479914246315,27.04931178132402,23.90889128969869,10.430514200008474
Calendar,1,"[50, 50, 100]",5e-05,15,256,12.488686472609949,10.38487994403238,17.639420068840977,14.179613799988728,10.520959499990568
Calendar,1,"[50, 50, 100]",0.0001,15,256,12.475779197126558,10.397055432536176,17.471679147116234,14.018379122286898,10.93052739999257
Calendar,1,"[50, 50, 100]",0.0005,15,256,12.222841745414033,10.208097341806905,16.795742543767474,13.707504547500216,10.1515333999414
Calendar,1,"[50, 50, 100]",1e-05,15,512,34.317006780202306,30.099563824093735,42.76605974146621,40.2711336990447,9.827475000056438
Calendar,1,"[50, 50, 100]",5e-05,15,512,12.520144705889232,10.390035508336462,17.71428376645128,14.270588993565886,9.807129199965857
Calendar,1,"[50, 50, 100]",0.0001,15,512,12.49826036578663,10.378662199086488,17.732047797567954,14.272945099724609,9.859457200043835
